CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
2033,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2034,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2035,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2046,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2095,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1
2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2107,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2108,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2116,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2119,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2120,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2135,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2137,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2148,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
