CASE,sexdrive2,meffort,socialanx,lon,mvalue,attr,CSBD,PPCS_6
4724,1,2,4,4,1,0,1,1
4726,4,3,1,2,4,0,2,1
4753,2,1,4,3,1,0,1,2
4821,1,2,4,4,1,0,1,1
4830,3,1,4,3,4,0,2,1
4939,4,1,3,1,2,0,1,2
4954,2,1,1,2,3,0,1,1
4975,2,1,3,4,1,0,2,2
4999,2,1,2,3,1,0,2,2
5024,1,1,3,4,1,0,2,1
5060,3,1,3,3,1,0,2,2
5096,2,2,4,4,1,0,2,2
5163,2,3,4,4,1,0,2,2
5211,3,1,2,3,4,0,2,2
5286,4,1,2,3,2,0,1,1
5307,1,2,4,4,1,0,2,1
5431,1,3,4,4,2,0,2,1
5456,4,4,2,1,1,0,2,2
5488,1,2,4,3,1,0,2,2
5506,1,2,4,4,1,0,2,1
5627,2,1,3,3,4,0,1,1
5764,4,1,3,4,1,0,2,2
5772,2,3,3,3,4,0,2,2
5782,4,2,4,4,2,0,1,2
5835,3,2,4,4,1,0,1,1
5837,1,1,4,3,4,0,1,1
5903,1,3,4,4,4,0,2,2
6106,1,1,3,4,1,0,2,1
6150,4,1,4,4,2,0,1,2
6202,2,2,3,3,3,0,2,2
6224,1,1,3,2,3,0,1,1
6324,4,2,2,1,1,0,1,2
6360,3,1,3,4,3,0,2,2
6393,1,1,3,3,1,0,1,1
6401,1,2,3,4,2,0,2,1
6427,4,4,4,2,1,0,2,2
6478,1,1,3,4,2,0,2,1
6503,3,2,4,3,2,0,2,2
6635,3,1,3,4,1,0,2,2
6653,1,1,3,3,3,0,1,1
6657,1,1,2,3,2,0,1,2
6660,4,1,1,1,2,0,1,2
6790,2,2,4,2,1,0,1,2
6819,3,1,4,4,1,0,1,1
6829,1,1,2,3,3,0,1,2
6846,4,1,2,4,2,0,1,2
6848,1,2,4,4,1,0,1,1
6908,1,1,3,4,4,0,1,1
6910,3,1,4,2,2,0,1,1
6912,4,1,4,4,1,0,1,2
6940,2,4,4,4,2,0,2,2
6947,1,1,4,2,1,0,1,1
6961,4,1,4,4,1,0,1,2
6966,1,2,3,3,1,0,1,2
6982,4,1,4,4,2,0,2,2
6991,1,1,3,2,2,0,1,1
7015,1,3,3,4,3,0,1,1
7023,4,1,1,4,1,0,2,2
7029,2,1,4,4,1,0,1,2
7036,1,1,3,3,1,0,2,2
7058,4,3,2,1,1,1,2,2
7077,3,4,3,2,2,0,2,1
7081,1,1,3,2,1,0,1,1
7101,2,3,3,1,2,0,1,1
7246,4,2,3,4,1,0,1,2
7257,2,1,3,4,1,0,1,2
7298,4,1,1,1,4,0,1,1
7308,4,2,1,1,2,0,1,2
7313,3,4,4,3,4,0,2,1
7364,1,2,4,4,1,0,1,2
7404,3,2,4,4,4,0,2,2
7452,1,2,4,4,2,0,2,2
7471,4,1,3,1,2,1,2,1
7489,3,2,3,4,2,0,2,2
7601,1,4,3,2,2,0,1,1
7612,1,3,4,2,3,0,1,1
7622,1,4,2,4,4,1,1,2
7632,3,2,4,3,1,0,1,1
7660,1,2,4,1,1,0,1,1
7678,3,4,4,3,2,0,2,2
7705,2,1,4,4,1,0,1,2
7735,1,1,3,4,2,0,2,1
7736,1,1,4,4,1,0,1,1
7754,1,2,4,4,1,0,1,1
7757,4,1,4,4,2,0,1,2
7762,4,1,3,4,2,0,1,1
7769,1,2,3,3,1,0,2,1
7783,1,1,3,4,4,0,1,1
7856,4,4,3,4,1,0,2,2
7863,1,3,1,1,2,0,2,1
7895,1,2,2,3,1,0,1,2
7896,1,4,4,3,2,1,2,2
7956,3,2,1,1,3,0,1,1
7957,1,1,4,4,2,0,2,1
8018,2,2,3,3,1,0,1,1
8033,1,1,3,4,3,0,2,2
8060,3,1,3,3,2,0,1,2
8063,4,1,2,2,1,0,1,1
8123,4,4,2,1,3,0,2,2
8232,1,2,1,3,2,0,1,1
8250,4,2,3,3,1,0,2,2
8269,3,2,2,3,2,0,2,2
8308,1,3,1,1,1,0,1,1
8493,1,3,3,4,1,0,2,1
8514,3,4,1,2,3,0,2,2
8524,2,1,3,1,3,0,2,1
8528,4,4,1,1,3,0,2,2
8533,3,1,4,4,1,0,2,2
8544,1,3,3,1,2,0,2,1
8548,2,2,1,2,2,0,1,1
8552,1,3,3,3,1,0,1,1
8555,1,3,2,4,2,0,1,1
8561,4,1,4,3,1,0,1,1
8563,2,1,1,1,2,0,1,2
8578,1,1,2,2,1,0,1,1
8580,3,3,3,1,4,0,1,1
8600,3,1,1,1,2,0,2,1
8616,1,3,2,1,1,0,2,1
8631,1,4,4,4,3,0,1,1
8645,1,3,3,3,1,0,2,1
8661,2,3,1,1,3,0,1,1
8669,1,3,4,3,3,0,2,2
8688,2,3,2,4,4,0,2,1
8689,2,4,1,1,2,0,2,2
8697,2,2,1,1,1,0,1,1
8702,1,1,3,3,1,0,1,1
8707,1,3,4,4,1,0,2,1
8730,4,3,1,2,4,0,2,2
8754,2,2,2,2,1,0,2,1
8759,1,1,4,3,2,0,1,1
8767,3,4,2,1,4,0,1,1
8769,3,4,1,1,2,0,1,1
8773,1,3,3,4,1,0,1,2
8774,1,1,4,3,1,0,1,2
8786,3,1,4,4,3,0,1,1
8788,3,4,2,3,1,0,1,2
8799,1,4,2,1,3,0,1,1
8800,2,3,3,1,2,0,1,1
8831,2,3,4,3,1,0,1,2
8840,1,4,1,1,1,0,1,2
8847,3,2,1,2,1,0,1,1
8849,2,3,1,1,4,0,2,1
8854,2,3,1,3,3,0,1,2
8858,1,1,4,3,1,0,1,2
8863,3,2,1,4,2,0,1,2
8866,1,2,3,4,2,0,1,1
8870,2,3,1,1,4,0,2,2
8882,4,4,1,3,4,0,2,1
8886,3,4,2,2,2,0,2,2
8899,2,2,4,3,4,0,1,1
8903,3,1,4,4,1,0,1,1
8906,3,3,3,2,2,0,1,2
8912,3,4,1,1,4,0,2,1
8915,4,1,4,4,4,0,1,2
8929,3,2,1,1,4,0,2,2
8931,2,2,3,4,1,0,2,2
8935,1,4,1,1,2,0,1,2
8939,3,1,3,2,1,0,1,1
8954,3,2,1,2,4,0,2,1
8955,1,3,2,3,3,0,2,2
8966,4,2,1,2,4,0,1,2
8994,3,2,2,3,2,0,1,1
8997,3,3,1,3,2,0,1,1
9000,2,3,2,2,1,0,2,2
9015,1,1,1,4,4,0,2,1
9051,3,3,1,2,2,0,2,2
9064,1,1,1,2,2,0,1,1
9084,1,1,1,1,1,0,1,1
9086,1,1,1,2,3,0,2,2
9097,1,1,4,2,2,0,2,1
9105,3,1,2,2,2,0,1,1
9107,2,4,1,2,4,0,2,1
9111,3,2,1,2,2,0,1,1
9116,4,4,4,4,1,0,1,1
9136,4,3,2,3,2,0,2,2
9142,4,4,1,2,3,0,2,2
9145,2,2,3,2,3,0,2,1
9147,3,2,2,1,4,0,1,1
9150,3,1,3,3,2,0,1,1
9162,2,1,3,2,4,0,1,1
9167,1,3,1,3,3,0,2,2
9179,4,2,2,1,4,0,1,1
9185,1,3,1,2,4,0,2,2
9189,2,4,1,1,4,0,2,1
9190,2,1,3,3,4,0,2,1
9198,2,2,1,1,2,0,1,1
9202,2,3,3,1,3,0,1,1
9203,4,2,2,2,2,0,1,1
9208,1,3,1,2,4,0,1,1
9229,4,4,1,2,4,0,2,1
9231,3,3,4,3,3,0,2,2
9234,1,2,3,3,2,0,1,1
9237,3,4,1,1,4,0,2,2
9238,1,3,4,4,2,0,2,2
9239,2,4,3,3,3,0,2,2
9244,1,1,2,2,4,0,2,1
9246,3,2,2,4,1,0,2,1
9261,3,1,2,4,4,0,1,1
9265,3,1,1,2,2,0,2,2
9266,3,3,4,3,2,0,2,1
9275,1,1,2,4,3,0,1,2
9278,3,3,1,2,4,0,1,2
9279,3,2,1,1,4,0,1,2
9282,1,2,2,2,4,0,2,1
9289,3,3,1,1,4,0,1,2
9303,3,3,2,3,1,0,1,1
9304,4,2,3,3,2,0,2,1
9305,4,3,2,3,2,0,2,1
9310,1,1,4,1,2,0,1,1
9315,2,1,1,2,4,0,1,1
9320,3,2,4,2,3,0,1,1
9328,3,2,4,4,1,0,2,1
9352,4,4,4,4,3,0,1,2
9359,2,4,3,4,3,0,2,1
9362,3,1,1,1,4,0,2,1
9369,2,2,2,4,4,0,1,2
9373,2,2,2,4,3,0,1,1
9374,1,3,2,1,3,0,2,1
9384,1,3,3,3,3,0,2,2
9388,3,4,3,4,2,0,2,2
9422,4,3,4,1,2,0,2,1
9423,2,3,1,3,2,0,1,2
9433,2,4,4,3,2,0,2,1
9434,2,3,3,4,1,0,2,2
9451,1,1,1,2,4,0,2,2
9455,3,3,2,3,1,0,2,2
9465,3,2,2,2,1,0,1,1
9466,3,4,4,2,2,0,2,2
9468,3,1,3,1,1,0,1,2
9473,1,4,1,1,2,0,2,1
9476,1,3,3,1,2,0,2,1
9490,2,3,1,1,4,0,2,1
9500,3,1,3,3,3,0,2,1
9502,4,2,1,1,2,0,2,1
9504,3,2,3,2,2,0,1,1
9506,4,3,1,1,4,0,2,2
9510,4,4,4,4,1,0,2,2
9511,1,2,1,2,4,0,2,1
9514,1,1,4,2,2,0,1,1
9515,2,4,1,2,4,0,1,2
9516,3,3,2,3,4,0,1,2
9518,4,4,3,4,4,0,2,1
9537,4,2,1,2,3,0,1,1
9541,1,2,3,4,3,0,1,1
9544,4,4,1,1,4,0,2,2
9545,4,3,3,4,2,0,2,2
9552,1,1,1,1,4,0,2,1
9557,3,1,3,1,2,0,1,1
9562,1,1,2,4,1,0,1,1
9590,2,4,1,1,4,0,1,2
9591,1,2,2,1,2,0,2,1
9601,1,1,3,3,1,0,1,1
9623,3,2,3,4,4,0,2,2
9640,1,4,1,1,3,0,2,1
9643,1,3,1,2,4,0,2,1
9647,1,1,3,3,2,0,2,1
9656,3,3,2,4,1,0,2,2
9658,3,3,1,2,2,0,1,1
9660,2,3,2,4,1,0,2,1
9678,3,1,4,4,1,0,2,2
9679,1,1,2,4,2,0,2,2
9688,1,1,3,1,4,0,2,1
9694,3,1,3,2,4,0,2,1
9697,3,2,2,2,2,0,1,2
9698,1,1,3,4,3,0,1,1
9699,4,3,3,3,4,0,2,2
9713,3,2,3,4,2,0,1,1
9718,3,3,2,1,3,0,2,1
9741,4,3,1,3,3,0,2,2
9744,1,2,4,4,1,0,2,1
9751,2,2,1,1,4,0,2,1
9760,1,1,2,4,4,0,1,1
9763,4,4,1,1,2,0,1,1
9764,3,4,1,1,4,0,2,1
9768,4,4,3,4,3,0,2,2
9769,4,3,4,2,4,0,2,1
9770,1,2,2,4,3,0,2,2
9779,1,2,4,4,1,0,2,1
9783,3,4,3,2,4,0,2,2
9785,2,3,3,3,1,0,2,1
9792,1,1,4,3,1,0,1,1
9794,2,3,2,2,4,0,1,2
9802,2,1,3,3,2,0,2,2
9814,1,1,2,3,1,0,2,2
9818,1,1,3,1,2,0,1,1
9819,2,1,2,2,4,0,1,1
9842,2,2,3,2,2,0,2,2
9863,2,1,4,4,2,0,2,1
9869,2,3,1,4,3,0,2,1
9878,2,1,2,2,2,0,2,2
9884,3,3,4,1,2,0,2,1
9886,2,1,1,2,3,0,1,1
9890,3,4,4,3,4,0,2,1
9897,1,2,2,3,3,0,2,2
9900,3,3,2,2,2,0,2,2
9909,3,1,3,3,1,0,2,1
9918,4,3,4,2,2,0,2,2
9923,3,2,2,2,2,0,2,2
9925,3,4,4,1,4,0,1,1
9927,3,4,2,2,4,0,2,2
9930,2,1,2,2,3,0,2,1
9938,4,2,1,1,4,0,2,2
9939,1,2,2,4,1,0,2,2
9940,1,2,4,3,4,0,2,1
9948,2,1,1,3,4,0,1,1
9950,4,1,4,4,3,0,1,1
9975,3,2,1,1,4,0,2,2
9979,3,3,4,1,2,0,2,2
9984,1,4,2,1,4,0,1,1
9988,3,3,3,4,2,0,2,1
9995,2,2,1,2,4,0,1,1
9998,3,1,4,4,2,0,1,1
10001,1,3,2,2,2,0,2,2
10003,3,2,1,1,4,0,2,2
10006,2,1,3,1,2,0,2,1
10011,4,3,4,1,4,0,2,2
10040,1,1,3,4,1,0,1,1
10045,2,1,4,4,1,0,1,1
